x,y,WeightedProbabiliticGoals,GoalProbability
8,2,0,0
8,4,0,0
8,6,0,0
8,8,0,0
8,10,0,0
8,12,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
8,28,0,0
8,30,0.0000215714257054788,0.001
8,32,0.000124520954466238,0.004
8,34,0.000501125909097123,0.01
8,36,0.00140602194168201,0.025
8,38,0.00275028793682313,0.052
8,40,0.00375063718120588,0.093
8,42,0.00356592964242231,0.139
8,44,0.00236363988798158,0.178
8,46,0.00109227168482519,0.203
8,48,0.000351901295322711,0.226
8,50,0.0000902950555757193,0.204
8,52,0.0000698245774546158,0.122
8,54,0.000302026164480671,0.122
8,56,0.000910797109123216,0.122
8,58,0.00191487109868447,0.121
8,60,0.00280671470519116,0.12
8,62,0.0028681233193453,0.118
8,64,0.00204332851588376,0.116
8,66,0.00101489098789544,0.111
8,68,0.000351432094626513,0.103
8,70,0.0000848407054139069,0.09
8,72,0.0000142793337830866,0.122
10,0,0,0
10,2,0,0
10,4,0,0
10,6,0,0
10,8,0,0
10,10,0,0
10,12,0,0
10,14,0,0
10,16,0,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0,0
10,26,0,0
10,28,0,0
10,30,0.0000724859238013055,0.001
10,32,0.000418424657708789,0.004
10,34,0.0016839208941321,0.012
10,36,0.0047246204640911,0.029
10,38,0.00924172396122976,0.059
10,40,0.0126031725781658,0.103
10,42,0.0119825044422442,0.148
10,44,0.00794248016580766,0.181
10,46,0.00367033330098589,0.2
10,48,0.00118248514616556,0.208
10,50,0.000298810814277831,0.206
10,52,0.000255341945979462,0.129
10,54,0.00090273874386918,0.121
10,56,0.0026996764901909,0.12
10,58,0.00565946699033427,0.119
10,60,0.00828277369507129,0.118
10,62,0.00846399398547913,0.115
10,64,0.00602997791348314,0.11
10,66,0.00299500065409488,0.101
10,68,0.00103709596974447,0.088
10,70,0.000250369715801143,0.07
10,72,0.0000421391208814139,0.051
10,74,0,0
12,0,0,0
12,2,0,0
12,4,0,0
12,6,0,0
12,8,0,0
12,10,0,0
12,12,0,0
12,14,0,0
12,16,0,0
12,18,0,0
12,20,0,0
12,22,0,0
12,24,0,0
12,26,0,0
12,28,0.0000205090982241439,0
12,30,0.000169812373245467,0.001
12,32,0.000980241134054114,0.004
12,34,0.00394491217596996,0.012
12,36,0.0110683422603626,0.031
12,38,0.0216505356686599,0.065
12,40,0.0295253827734481,0.109
12,42,0.0280713469602658,0.151
12,44,0.0186068044067138,0.178
12,46,0.00859846954769802,0.189
12,48,0.00278010645294204,0.188
12,50,0.000720851244582725,0.167
12,52,0.000586011992684339,0.121
12,54,0.0019298702283278,0.117
12,56,0.00562955247252376,0.118
12,58,0.0116981612633263,0.117
12,60,0.0170772569987366,0.114
12,62,0.017426555993704,0.108
12,64,0.0124060655571095,0.099
12,66,0.00616190888115941,0.085
12,68,0.00213371935590256,0.067
12,70,0.000515110196473282,0.047
12,72,0.0000866969504158273,0.031
12,74,0.0000101729830478361,0.019
14,0,0,0
14,2,0,0
14,4,0,0
14,6,0,0
14,8,0,0
14,10,0,0
14,12,0,0
14,14,0,0
14,16,0,0
14,18,0,0
14,20,0,0
14,22,0,0
14,24,0,0
14,26,0,0
14,28,0.0000334967786417637,0
14,30,0.000277348492608988,0.001
14,32,0.00160099288248119,0.004
14,34,0.00644308435580571,0.012
14,36,0.0180775286448324,0.031
14,38,0.0353610477088142,0.065
14,40,0.0482227546168387,0.107
14,42,0.0458479297835349,0.142
14,44,0.0303898299979156,0.159
14,46,0.0140567921689523,0.16
14,48,0.00459349210546716,0.147
14,50,0.00129172722689365,0.115
14,52,0.00114576213616757,0.096
14,54,0.00319317535798631,0.107
14,56,0.00851547590252948,0.112
14,58,0.0170979086794386,0.112
14,60,0.0246554821508587,0.106
14,62,0.0250523947323784,0.096
14,64,0.0178130939961495,0.081
14,66,0.00883841616982899,0.063
14,68,0.00306052881027639,0.044
14,70,0.000738855179062078,0.028
14,72,0.000124354926891735,0.016
14,74,0.0000145917538865769,0.008
14,76,0,0
16,0,0,0
16,2,0,0
16,4,0,0
16,6,0,0
16,8,0,0
16,10,0,0
16,12,0,0
16,14,0,0
16,16,0,0
16,18,0,0
16,20,0,0
16,22,0,0
16,24,0,0
16,26,0,0
16,28,0.0000381417263854054,0
16,30,0.000315807989527307,0.001
16,32,0.00182300014940672,0.003
16,34,0.00733653714004683,0.011
16,36,0.0205843122608766,0.028
16,38,0.0402645108305806,0.057
16,40,0.0549097312256998,0.091
16,42,0.0522055930166541,0.114
16,44,0.0346125160356652,0.119
16,46,0.0160449450034864,0.109
16,48,0.00539972685516331,0.087
16,50,0.00197977973874858,0.065
16,52,0.00233484257982201,0.07
16,54,0.00494836287186626,0.086
16,56,0.0103146234095871,0.098
16,58,0.0183982983579178,0.1
16,60,0.0253107533513345,0.092
16,62,0.0252825969340219,0.078
16,64,0.0178694757640838,0.059
16,66,0.00885116638092121,0.04
16,68,0.00306052881027639,0.025
16,70,0.000738855179062078,0.014
16,72,0.000124354926891735,0.007
16,74,0.0000145917538865769,0.003
16,76,0,0
16,78,0,0
16,80,0,0
18,0,0,0
18,2,0,0
18,4,0,0
18,6,0,0
18,8,0,0
18,10,0,0
18,12,0,0
18,14,0,0
18,16,0,0
18,18,0,0
18,20,0,0
18,22,0,0
18,24,0,0
18,26,0,0
18,28,0.0000302787870949128,0
18,30,0.000250703987049436,0.001
18,32,0.00144718759817336,0.002
18,34,0.00582410570074247,0.008
18,36,0.016340844201556,0.02
18,38,0.0319639582802541,0.041
18,40,0.0435900578915073,0.061
18,42,0.0414433793620781,0.071
18,44,0.0274947253375341,0.066
18,46,0.0128480522932622,0.053
18,48,0.00476397942911026,0.038
18,50,0.0030495306220621,0.037
18,52,0.00496721451466383,0.053
18,54,0.00837591049570902,0.065
18,56,0.0123123596698718,0.075
18,58,0.0165283674963386,0.08
18,60,0.0195112159029271,0.072
18,62,0.018281625922075,0.055
18,64,0.0126186144960967,0.037
18,66,0.00619820239212094,0.023
18,68,0.00213371935590256,0.013
18,70,0.000515110196473282,0.006
18,72,0.0000866969504158273,0.002
18,74,0.0000101729830478361,0.001
18,76,0,0
18,78,0,0
18,80,0,0
20,0,0,0
20,2,0.000019155741405809,0
20,4,0.0000280774518605769,0
20,6,0.0000286917634628744,0
20,8,0.0000204407872071782,0
20,10,0,0
20,12,0,0
20,14,0,0
20,16,0,0
20,18,0,0
20,20,0,0
20,22,0,0
20,24,0,0
20,26,0,0
20,28,0,0
20,30,0.000138752300842917,0
20,32,0.000800947010700285,0.001
20,34,0.00322335546331385,0.005
20,36,0.00904385190425567,0.012
20,38,0.0176904755589615,0.023
20,40,0.0241249486994793,0.031
20,42,0.0229368679328593,0.033
20,44,0.0152519023149517,0.028
20,46,0.00733061152310997,0.02
20,48,0.00360139992288291,0.016
